nombre,latitud,longitud
Buenos Aires,-346.037,-583.816
CABA,-346.158,-584.333
Catamarca,-284.696,-657.795
Chaco,-266.021,-593.087
Chubut,-436.848,-682.714
Córdoba,-314.167,-641.833
Corrientes,-274.692,-588.309
Entre Ríos,-317.642,-605.247
Formosa,-261.844,-581.759
Jujuy,-241.858,-652.995
La Pampa,-366.167,-642.833
La Rioja,-294.131,-668.558
Mendoza,-328.908,-688.272
Misiones,-273.621,-559.007
Neuquén,-389.516,-680.591
Río Negro,-408.135,-629.967
Salta,-247.829,-654.232
San Juan,-315.375,-685.364
San Luis,-333.335,-663.499
Santa Cruz,-516.236,-692.169
Santa Fe,-316.333,-60.7
Santiago del Estero,-27.784,-642.665
Tierra del Fuego,-548.019,-68.302
Tucumán,-26.808,-652.176